Nguồn_Dữ_Liệu,Tổng_Mẫu,Tỷ_Lệ_Chia,Độ_Đo_Khoảng_Cách,k_Tối_Ưu,Ngưỡng_F2 (Nhạy),Ngưỡng_F1 (Cân_bằng),Test_ROC_AUC,Test_PR_AUC,Test_Precision (%),Test_Recall (%),Test_F1_Score,Test_Specificity (%),Báo_Động_Giả (FP),Đánh_Giá_Khoa_Học
Nhánh A: Argo Floats (GDAC NetCDF),"3,240",6:2:2 (180 Profiles: 108 Train / 36 Val / 36 Test),Manhattan (L1),3,2.2598,2.4785,"0.9733 [0.9550, 0.9944]","0.8875 [0.8237, 0.9694]","82.14% [69.70%, 100.00%]","79.37% [70.59%, 88.10%]",0.7731,98.29%,10 / 585 mẫu sạch,Bắt dị thường cảm biến trên phao tự hành với ROC-AUC = 0.9733
Nhánh C: WOCE CTD (CCHDO NetCDF),"3,401",6:2:2 (92 Trạm: 55 Train / 18 Val / 19 Test),Euclidean (L2),20,5.6832,5.6832,"0.9382 [0.8901, 0.9966]","0.1342 [0.0747, 0.7973]","20.00% [10.20%, 80.00%]","84.62% [71.43%, 100.00%]",0.3235,93.64%,44 / 692 mẫu sạch,"Bắt dị thường trên trắc diện tàu với ROC-AUC = 0.9382, Recall = 84.62%"
